Indian Stock Market Report - 2026-08-04

Coming Week Sector Outlook
- The banking sector, as indicated by high delivery percentages in PVTBANK and ABSL10BANK, may show relative strength in the coming week.
- The realty sector appears weak due to declining shares, which could potentially impact market performance.
58. HDFCNIMEG        87.1%   Close: ₹142.82   Delivery Qty: 108,293
59. OSWALSEEDS       86.6%   Close: ₹10.47   Delivery Qty: 19,274
60. VCL              86.6%   Close: ₹1.17   Delivery Qty: 134,633
61. HDFCMOMENT       86.5%   Close: ₹31.07   Delivery Qty: 274,113
62. PRAKASHSTL       86.5%   Close: ₹3.99   Delivery Qty: 126,726
63. DHARMAJ          86.5%   Close: ₹267.85   Delivery Qty: 88,352
64. ZENITHSTL        86.3%   Close: ₹5.61   Delivery Qty: 31,479
65. GUJTHEM          86.1%   Close: ₹353.70   Delivery Qty: 53,600
66. HEADSUP          86.0%   Close: ₹7.17   Delivery Qty: 26,208
67. AJOONI           85.7%   Close: ₹3.92   Delivery Qty: 161,871
68. MOMMIDCAP        85.6%   Close: ₹12.80   Delivery Qty: 781,849
69. ESG              85.6%   Close: ₹42.17   Delivery Qty: 30,061
70. TVVISION         85.3%   Close: ₹4.45   Delivery Qty: 17,626
71. ELM250           85.3%   Close: ₹16.84   Delivery Qty: 16,625
72. HGM              85.0%   Close: ₹49.62   Delivery Qty: 10,201
73. LPDC             85.0%   Close: ₹6.32   Delivery Qty: 17,546
74. BANKADD          84.9%   Close: ₹59.14   Delivery Qty: 28,891
75. KRITIKA          84.9%   Close: ₹5.93   Delivery Qty: 93,605
76. EVINDIA          84.9%   Close: ₹33.33   Delivery Qty: 694,871
77. TREJHARA         84.8%   Close: ₹137.09   Delivery Qty: 14,363
78. GLOBE            84.7%   Close: ₹2.07   Delivery Qty: 244,625
79. SECURKLOUD       84.6%   Close: ₹18.28   Delivery Qty: 9,695
80. ALANKIT          84.6%   Close: ₹7.81   Delivery Qty: 104,841
81. GROWWNET         84.5%   Close: ₹10.20   Delivery Qty: 343,666
82. MIDSMALL         84.4%   Close: ₹51.65   Delivery Qty: 300,667
83. HBSL             84.3%   Close: ₹55.34   Delivery Qty: 17,288
84. SIL              84.3%   Close: ₹16.90   Delivery Qty: 18,701
85. FINKURVE         84.2%   Close: ₹60.01   Delivery Qty: 63,692
86. RUBFILA          84.1%   Close: ₹71.57   Delivery Qty: 14,208
87. HDFCNEXT50       83.9%   Close: ₹75.15   Delivery Qty: 1,002,413
88. MNC              83.9%   Close: ₹34.38   Delivery Qty: 89,410
89. HEALTHADD        83.6%   Close: ₹16.84   Delivery Qty: 26,826
90. GROWWCHEM        83.4%   Close: ₹30.02   Delivery Qty: 77,795
91. CCHHL            83.3%   Close: ₹12.82   Delivery Qty: 13,767
92. MEDICAMEQ        83.1%   Close: ₹250.83   Delivery Qty: 19,248
93. SPCENET          83.1%   Close: ₹3.47   Delivery Qty: 180,907
94. HAVISHA          83.0%   Close: ₹1.36   Delivery Qty: 54,777
95. AROGRANITE       83.0%   Close: ₹25.04   Delivery Qty: 16,901
96. TEXINFRA         82.9%   Close: ₹113.95   Delivery Qty: 462,624
97. KHAICHEM         82.5%   Close: ₹49.39   Delivery Qty: 86,479
98. TECILCHEM        82.5%   Close: ₹9.98   Delivery Qty: 121,765
99. MAGNUM           82.4%   Close: ₹19.94   Delivery Qty: 16,329
100. CANTABIL         82.3%   Close: ₹247.86   Delivery Qty: 358,656
101. SMALL250         82.3%   Close: ₹18.26   Delivery Qty: 435,563
102. TARAPUR          82.1%   Close: ₹14.99   Delivery Qty: 85,240
103. BANKBETA         82.0%   Close: ₹59.63   Delivery Qty: 86,668
104. MADHAVIPL        81.8%   Close: ₹7.89   Delivery Qty: 53,022
105. SAKUMA           81.8%   Close: ₹1.63   Delivery Qty: 539,481
106. MHLXMIRU         81.8%   Close: ₹155.71   Delivery Qty: 18,690
107. TEXMOPIPES       81.6%   Close: ₹42.82   Delivery Qty: 13,672
108. CAPTRUST         81.5%   Close: ₹20.02   Delivery Qty: 84,801
109. ZEEMEDIA         81.5%   Close: ₹7.05   Delivery Qty: 2,317,960
110. INTLCONV         81.4%   Close: ₹74.93   Delivery Qty: 17,036
111. TOP100CASE       81.3%   Close: ₹10.75   Delivery Qty: 749,809
112. CONSUMER         81.3%   Close: ₹12.16   Delivery Qty: 369,344
113. INTERNET         81.2%   Close: ₹13.87   Delivery Qty: 154,124
114. VAISHALI         80.7%   Close: ₹7.82   Delivery Qty: 167,471
115. BCPL             80.6%   Close: ₹69.00   Delivery Qty: 13,666
116. LIBAS            80.5%   Close: ₹9.90   Delivery Qty: 22,127
117. OSWALAGRO        80.4%   Close: ₹38.93   Delivery Qty: 16,619
118. BAIDFIN          80.4%   Close: ₹9.98   Delivery Qty: 42,253
119. SRTL             80.2%   Close: ₹40.39   Delivery Qty: 19,200
120. CINELINE         80.0%   Close: ₹89.51   Delivery Qty: 8,200
121. KANANIIND        79.9%   Close: ₹1.51   Delivery Qty: 82,786
122. AMJLAND          79.8%   Close: ₹39.26   Delivery Qty: 11,307
123. MAHKTECH         79.8%   Close: ₹23.67   Delivery Qty: 557,679
124. XTGLOBAL         79.8%   Close: ₹33.17   Delivery Qty: 115,862
125. DNAMEDIA         79.8%   Close: ₹2.86   Delivery Qty: 28,060
126. NATHBIOGEN       79.5%   Close: ₹164.72   Delivery Qty: 32,055
127. LANCORHOL        79.4%   Close: ₹26.34   Delivery Qty: 41,025
128. MOLOWVOL         79.4%   Close: ₹37.50   Delivery Qty: 105,875
129. LTGILTCASE       79.4%   Close: ₹30.49   Delivery Qty: 104,670
130. BIL              79.4%   Close: ₹801.75   Delivery Qty: 26,672
131. KOTHARIPRO       79.1%   Close: ₹67.14   Delivery Qty: 8,440
132. ORCHASP          79.1%   Close: ₹1.61   Delivery Qty: 170,218
133. COMPUSOFT        79.0%   Close: ₹13.20   Delivery Qty: 12,840
134. RNBDENIMS        79.0%   Close: ₹8.99   Delivery Qty: 136,631
135. HDFCNIFBAN       78.8%   Close: ₹59.24   Delivery Qty: 64,577
136. BALPHARMA        78.8%   Close: ₹87.87   Delivery Qty: 15,711
137. SELECTIPO        78.7%   Close: ₹47.61   Delivery Qty: 27,680
138. GSLSU            78.6%   Close: ₹28.04   Delivery Qty: 33,890
139. MANGALAM         78.6%   Close: ₹26.98   Delivery Qty: 18,786
140. AIRAN            78.6%   Close: ₹15.05   Delivery Qty: 25,844
141. ANDHRAPAP        78.5%   Close: ₹61.94   Delivery Qty: 239,076
142. MATRIMONY        78.5%   Close: ₹431.20   Delivery Qty: 10,648
143. TCC              78.5%   Close: ₹289.40   Delivery Qty: 39,214
144. CTE              78.5%   Close: ₹39.82   Delivery Qty: 53,123
145. GROWWN200        78.4%   Close: ₹11.53   Delivery Qty: 60,838
146. VINNY            78.4%   Close: ₹1.07   Delivery Qty: 369,337
147. NEXT50BETA       78.3%   Close: ₹79.66   Delivery Qty: 275,493
148. HDFCGROWTH       78.0%   Close: ₹122.52   Delivery Qty: 22,644
149. EFCIL            78.0%   Close: ₹191.15   Delivery Qty: 130,636
150. ELGIRUBCO        77.9%   Close: ₹58.48   Delivery Qty: 34,824
151. BEARDSELL        77.9%   Close: ₹27.33   Delivery Qty: 18,423
152. MOMENTUM         77.9%   Close: ₹31.21   Delivery Qty: 61,554
153. SURAJEST         77.8%   Close: ₹200.14   Delivery Qty: 34,926
154. IVC              77.8%   Close: ₹8.48   Delivery Qty: 132,043
155. ANTGRAPHIC       77.7%   Close: ₹0.75   Delivery Qty: 146,861
156. BFSI             77.6%   Close: ₹27.80   Delivery Qty: 306,861
157. MOINFRA          77.6%   Close: ₹60.73   Delivery Qty: 17,502
158. TNTELE           77.6%   Close: ₹9.01   Delivery Qty: 13,666
159. EXXARO           77.6%   Close: ₹6.18   Delivery Qty: 152,874
160. EQUAL50ADD       77.6%   Close: ₹349.78   Delivery Qty: 11,839
161. RPSGVENT         77.5%   Close: ₹959.85   Delivery Qty: 21,527
162. MUTHOOTCAP       77.5%   Close: ₹239.64   Delivery Qty: 22,218
163. LASA             77.5%   Close: ₹7.11   Delivery Qty: 17,504
164. KAMOPAINTS       77.4%   Close: ₹4.56   Delivery Qty: 162,283
165. ABSLPSE          77.3%   Close: ₹10.31   Delivery Qty: 134,122
166. SUNDROP          77.3%   Close: ₹666.80   Delivery Qty: 43,711
167. MAKEINDIA        77.1%   Close: ₹167.01   Delivery Qty: 39,468
168. ROSSELLIND       77.1%   Close: ₹58.22   Delivery Qty: 14,159
169. PVTBANKADD       77.0%   Close: ₹28.19   Delivery Qty: 150,943
170. MULTICAP         76.9%   Close: ₹16.90   Delivery Qty: 117,742
171. KAYA             76.8%   Close: ₹262.50   Delivery Qty: 18,067
172. MOVALUE          76.6%   Close: ₹115.17   Delivery Qty: 35,595
173. MKPL             76.4%   Close: ₹4.18   Delivery Qty: 103,753
174. PVSL             76.4%   Close: ₹109.07   Delivery Qty: 28,157
175. SBIMIDMOM        76.3%   Close: ₹63.54   Delivery Qty: 14,477
176. NH               76.3%   Close: ₹1919.40   Delivery Qty: 660,770
177. GAYAHWS          76.2%   Close: ₹1.99   Delivery Qty: 133,954
178. AAKASH           76.1%   Close: ₹8.95   Delivery Qty: 65,067
179. NATCAPSUQ        76.0%   Close: ₹152.56   Delivery Qty: 22,155
180. SARLAPOLY        76.0%   Close: ₹101.53   Delivery Qty: 36,163
181. SURANAT&P        75.9%   Close: ₹18.27   Delivery Qty: 31,648
182. AKG              75.8%   Close: ₹10.03   Delivery Qty: 9,547
183. NEXT50           75.6%   Close: ₹765.09   Delivery Qty: 19,514
184. HCG              75.5%   Close: ₹672.25   Delivery Qty: 101,204
185. FIBERWEB         75.4%   Close: ₹29.05   Delivery Qty: 8,262
186. VIRINCHI         75.4%   Close: ₹15.61   Delivery Qty: 32,287
187. IIFLCAPS         75.4%   Close: ₹334.90   Delivery Qty: 151,708
188. GLOBAL           75.3%   Close: ₹102.83   Delivery Qty: 18,629
189. NAVNETEDUL       75.3%   Close: ₹128.63   Delivery Qty: 304,519
190. CHALET           75.3%   Close: ₹825.65   Delivery Qty: 87,526
191. MUFTI            75.2%   Close: ₹82.23   Delivery Qty: 21,380
192. FAZE3Q           75.1%   Close: ₹540.95   Delivery Qty: 13,980
193. NAHARINDUS       75.0%   Close: ₹120.61   Delivery Qty: 23,441
194. TRACXN           75.0%   Close: ₹30.07   Delivery Qty: 117,733
195. GRANDOAK         74.9%   Close: ₹38.41   Delivery Qty: 8,507
196. GTL              74.9%   Close: ₹7.39   Delivery Qty: 83,138
197. REPCOHOME        74.8%   Close: ₹383.05   Delivery Qty: 37,213
198. CELEBRITY        74.8%   Close: ₹7.17   Delivery Qty: 32,109
199. GROWWNXT50       74.8%   Close: ₹75.71   Delivery Qty: 21,217
200. GOYALALUM        74.7%   Close: ₹6.46   Delivery Qty: 60,794
201. AEPL             74.6%   Close: ₹14.08   Delivery Qty: 19,181
202. SREEL            74.5%   Close: ₹212.61   Delivery Qty: 11,911
203. GROWWHOSPI       74.5%   Close: ₹53.81   Delivery Qty: 203,195
204. LIKHITHA         74.4%   Close: ₹221.97   Delivery Qty: 21,173
205. PTL              74.2%   Close: ₹40.13   Delivery Qty: 22,220
206. BALUFORGE        74.2%   Close: ₹439.45   Delivery Qty: 372,082
207. NDLVENTURE       74.1%   Close: ₹127.27   Delivery Qty: 7,814
208. LCCINFOTEC       74.1%   Close: ₹4.19   Delivery Qty: 15,318
209. NV20             74.0%   Close: ₹14.19   Delivery Qty: 34,028
210. MANAKSTEEL       74.0%   Close: ₹79.26   Delivery Qty: 45,430
211. AVROIND          73.9%   Close: ₹8.87   Delivery Qty: 133,909
212. GROWWLIQID       73.9%   Close: ₹110.19   Delivery Qty: 116,421
213. CROWN            73.7%   Close: ₹114.70   Delivery Qty: 15,342
214. DAVANGERE        73.7%   Close: ₹3.08   Delivery Qty: 5,386,368
215. MOKSH            73.7%   Close: ₹10.29   Delivery Qty: 15,326
216. VENTIVE          73.6%   Close: ₹626.70   Delivery Qty: 15,410
217. ROHLTD           73.6%   Close: ₹313.55   Delivery Qty: 9,375
218. GVPTECH          73.6%   Close: ₹6.98   Delivery Qty: 37,784
219. AMDIND           73.5%   Close: ₹46.24   Delivery Qty: 12,789
220. CUB              73.5%   Close: ₹201.47   Delivery Qty: 3,536,485
221. ANMOL            73.5%   Close: ₹10.07   Delivery Qty: 12,449
222. TRU              73.4%   Close: ₹4.66   Delivery Qty: 117,858
223. TIJARIA          73.3%   Close: ₹4.88   Delivery Qty: 128,093
224. VIVIDHA          73.1%   Close: ₹0.51   Delivery Qty: 134,480
225. AONETOTAL        73.0%   Close: ₹12.02   Delivery Qty: 158,472
226. GLOBECIVIL       73.0%   Close: ₹40.64   Delivery Qty: 14,751
227. SNOWMAN          73.0%   Close: ₹39.43   Delivery Qty: 199,034
228. TVTODAY          73.0%   Close: ₹115.67   Delivery Qty: 17,220
229. SEIL             72.7%   Close: ₹203.00   Delivery Qty: 105,353
230. MOMOMENTUM       72.7%   Close: ₹62.53   Delivery Qty: 75,476
231. DOLPHIN          72.6%   Close: ₹402.40   Delivery Qty: 10,752
232. SURANASOL        72.5%   Close: ₹25.95   Delivery Qty: 35,762
233. PRIMO            72.5%   Close: ₹24.12   Delivery Qty: 66,356
234. GREENLAM         72.4%   Close: ₹247.70   Delivery Qty: 32,962
235. PRAENG           72.4%   Close: ₹20.35   Delivery Qty: 25,166
236. SUDARCOLOR       72.4%   Close: ₹377.75   Delivery Qty: 7,677
237. TREEHOUSE        72.3%   Close: ₹6.31   Delivery Qty: 10,206
238. CCCL             72.3%   Close: ₹15.68   Delivery Qty: 182,863
239. SURAKSHA         72.2%   Close: ₹251.10   Delivery Qty: 28,807
240. PROZONER         72.2%   Close: ₹42.58   Delivery Qty: 50,604
241. HDFCLOWVOL       72.0%   Close: ₹21.15   Delivery Qty: 8,876
242. VISHWARAJ        72.0%   Close: ₹5.47   Delivery Qty: 233,323
243. SARVESHWAR       71.9%   Close: ₹3.41   Delivery Qty: 564,908
244. VALUEAXIS        71.8%   Close: ₹33.30   Delivery Qty: 108,818
245. RKSWAMY          71.7%   Close: ₹101.93   Delivery Qty: 11,857
246. EMETAL           71.7%   Close: ₹13.06   Delivery Qty: 25,745
247. HGS              71.6%   Close: ₹421.45   Delivery Qty: 21,858
248. LINC             71.6%   Close: ₹101.68   Delivery Qty: 10,468
249. INTENTECH        71.6%   Close: ₹81.64   Delivery Qty: 42,530
250. VRAJ             71.6%   Close: ₹121.59   Delivery Qty: 16,261
251. INTERARCH        71.5%   Close: ₹1843.10   Delivery Qty: 18,855
252. GROWWSLVR        71.5%   Close: ₹21.23   Delivery Qty: 864,975
253. AFIL             71.5%   Close: ₹9.27   Delivery Qty: 163,784
254. BORANA           71.5%   Close: ₹319.00   Delivery Qty: 13,469
255. ESTER            71.5%   Close: ₹87.20   Delivery Qty: 45,346
256. SCPL             71.4%   Close: ₹632.15   Delivery Qty: 67,107
257. BANKPSU          71.4%   Close: ₹85.40   Delivery Qty: 10,482
258. MAFATIND         71.3%   Close: ₹132.01   Delivery Qty: 23,489
259. ICICIAMC         71.2%   Close: ₹3063.80   Delivery Qty: 230,592
260. SAGCEM           71.2%   Close: ₹172.94   Delivery Qty: 11,305
261. TORNTPHARM       71.2%   Close: ₹5030.00   Delivery Qty: 468,816
262. DIGJAMLMTD       71.2%   Close: ₹48.90   Delivery Qty: 13,407
263. SMALLADD         71.1%   Close: ₹18.25   Delivery Qty: 128,814
264. DVL              71.1%   Close: ₹248.24   Delivery Qty: 10,084
265. CANFINHOME       70.9%   Close: ₹809.80   Delivery Qty: 143,320
266. MITTAL           70.8%   Close: ₹0.90   Delivery Qty: 178,874
267. GSS              70.8%   Close: ₹14.24   Delivery Qty: 206,141
268. ERIS             70.7%   Close: ₹1373.00   Delivery Qty: 65,070
269. RPPINFRA         70.6%   Close: ₹59.49   Delivery Qty: 15,410
270. IIFL             70.6%   Close: ₹607.65   Delivery Qty: 1,441,649
271. ARCHIES          70.5%   Close: ₹14.20   Delivery Qty: 13,838
272. MEDPLUS          70.4%   Close: ₹684.05   Delivery Qty: 199,928
273. SELMC            70.3%   Close: ₹27.85   Delivery Qty: 11,769
274. GROWWRLTY        70.2%   Close: ₹10.00   Delivery Qty: 143,587
275. BAJAJINDEF       70.2%   Close: ₹232.08   Delivery Qty: 12,259
276. DEFENCE          70.1%   Close: ₹79.21   Delivery Qty: 122,013
277. WEWORK           70.1%   Close: ₹737.35   Delivery Qty: 244,441
278. AVTNPL           70.1%   Close: ₹70.83   Delivery Qty: 16,598
279. MID150CASE       70.0%   Close: ₹11.73   Delivery Qty: 840,987
280. GANDHITUBE       69.8%   Close: ₹900.30   Delivery Qty: 17,014
281. HPAL             69.8%   Close: ₹34.07   Delivery Qty: 42,723
282. IGCL             69.7%   Close: ₹75.28   Delivery Qty: 31,918
283. SUNDARAM         69.7%   Close: ₹1.25   Delivery Qty: 278,875
284. GROWWRAIL        69.7%   Close: ₹29.53   Delivery Qty: 523,666
285. IVALUE           69.6%   Close: ₹276.40   Delivery Qty: 157,167
286. LAGNAM           69.6%   Close: ₹86.15   Delivery Qty: 8,761
287. TOP10ADD         69.5%   Close: ₹89.34   Delivery Qty: 121,383
288. TBOTEK           69.5%   Close: ₹1603.20   Delivery Qty: 500,958
289. HDFCMID150       69.4%   Close: ₹23.64   Delivery Qty: 390,399
290. VIKASLIFE        69.4%   Close: ₹1.26   Delivery Qty: 1,968,429
291. TTL              69.4%   Close: ₹6.28   Delivery Qty: 69,332
292. SIS              69.3%   Close: ₹430.05   Delivery Qty: 129,598
293. ALLTIME          69.3%   Close: ₹221.45   Delivery Qty: 44,492
294. IGIL             69.3%   Close: ₹362.10   Delivery Qty: 729,436
295. BAJAJFINSV       69.2%   Close: ₹2105.00   Delivery Qty: 1,355,149
296. ALPHA            68.9%   Close: ₹52.64   Delivery Qty: 1,052,890
297. EPIGRAL          68.9%   Close: ₹1100.70   Delivery Qty: 27,701
298. RAMANEWS         68.9%   Close: ₹33.37   Delivery Qty: 261,803
299. VSTL             68.9%   Close: ₹111.52   Delivery Qty: 10,755
300. SATIA            68.8%   Close: ₹62.49   Delivery Qty: 81,511
301. MARATHON         68.7%   Close: ₹391.45   Delivery Qty: 36,466
302. JUNIPER          68.7%   Close: ₹195.97   Delivery Qty: 24,185
303. NILAINFRA        68.7%   Close: ₹7.53   Delivery Qty: 103,151
304. TPHQ             68.6%   Close: ₹0.43   Delivery Qty: 514,624
305. SCHAND           68.6%   Close: ₹144.31   Delivery Qty: 7,611
306. GATECH           68.5%   Close: ₹0.68   Delivery Qty: 12,642,832
307. HDFCAMC          68.5%   Close: ₹2556.00   Delivery Qty: 709,495
308. PRAXIS           68.5%   Close: ₹6.46   Delivery Qty: 40,716
309. UBL              68.5%   Close: ₹1434.10   Delivery Qty: 113,767
310. VARDMNPOLY       68.4%   Close: ₹6.03   Delivery Qty: 101,743
311. HCL-INSYS        68.3%   Close: ₹11.64   Delivery Qty: 96,200
312. HARRMALAYA       68.2%   Close: ₹216.84   Delivery Qty: 16,609
313. MOALPHA50        68.2%   Close: ₹54.96   Delivery Qty: 9,589
314. AYMSYNTEX        68.2%   Close: ₹256.25   Delivery Qty: 129,268
315. PHOENIXLTD       68.1%   Close: ₹1932.30   Delivery Qty: 564,875
316. SINCLAIR         68.1%   Close: ₹74.03   Delivery Qty: 7,823
317. PFS              68.0%   Close: ₹28.07   Delivery Qty: 491,955
318. CEWATER          68.0%   Close: ₹279.60   Delivery Qty: 61,341
319. HDFCPSUBK        68.0%   Close: ₹84.77   Delivery Qty: 68,081
320. PITTIENG         67.9%   Close: ₹939.75   Delivery Qty: 8,426
321. SINDHUTRAD       67.9%   Close: ₹24.37   Delivery Qty: 269,114
322. ORKLAINDIA       67.9%   Close: ₹579.40   Delivery Qty: 49,586
323. MANAKALUCO       67.8%   Close: ₹35.12   Delivery Qty: 14,727
324. CENTRUM          67.8%   Close: ₹23.60   Delivery Qty: 203,685
325. CIEINDIA         67.8%   Close: ₹410.60   Delivery Qty: 242,580
326. GICRE            67.8%   Close: ₹359.70   Delivery Qty: 454,901
327. MOMENTUM50       67.7%   Close: ₹53.43   Delivery Qty: 476,950
328. APOLLOPIPE       67.7%   Close: ₹527.35   Delivery Qty: 514,412
329. ISFT             67.5%   Close: ₹79.52   Delivery Qty: 12,809
330. AONETMMQ50       67.4%   Close: ₹10.15   Delivery Qty: 69,605
331. PIONEEREMB       67.4%   Close: ₹24.14   Delivery Qty: 13,734
332. HDFCSML250       67.3%   Close: ₹183.29   Delivery Qty: 897,941
333. NCLIND           67.3%   Close: ₹174.62   Delivery Qty: 102,175
334. HARSHA           67.3%   Close: ₹408.10   Delivery Qty: 49,738
335. SUNPHARMA        67.3%   Close: ₹1964.00   Delivery Qty: 977,243
336. SADBHAV          67.2%   Close: ₹8.57   Delivery Qty: 156,586
337. SHANTI           67.1%   Close: ₹6.91   Delivery Qty: 8,185
338. BRIGADE          67.0%   Close: ₹580.20   Delivery Qty: 194,632
339. FCSSOFT          66.9%   Close: ₹1.48   Delivery Qty: 607,777
340. AKI              66.9%   Close: ₹4.04   Delivery Qty: 100,857
341. ACSTECH          66.9%   Close: ₹42.22   Delivery Qty: 194,765
342. CHOLAFIN         66.9%   Close: ₹1875.00   Delivery Qty: 900,262
343. PRABHA           66.9%   Close: ₹155.13   Delivery Qty: 30,390
344. PARASPETRO       66.8%   Close: ₹2.51   Delivery Qty: 397,928
345. STARCEMENT       66.6%   Close: ₹203.72   Delivery Qty: 73,425
346. JAYKAY           66.6%   Close: ₹161.27   Delivery Qty: 55,603
347. INDIAMART        66.5%   Close: ₹1774.80   Delivery Qty: 64,581
348. INDOSTAR         66.5%   Close: ₹238.30   Delivery Qty: 140,358
349. SBIBPB           66.5%   Close: ₹49.01   Delivery Qty: 26,002
350. SML100CASE       66.4%   Close: ₹11.17   Delivery Qty: 1,710,051
351. LTTS             66.4%   Close: ₹3502.00   Delivery Qty: 76,888
352. ADVANIHOTR       66.3%   Close: ₹52.43   Delivery Qty: 19,890
353. MOENERGY         66.3%   Close: ₹38.94   Delivery Qty: 69,412
354. LENSKART         66.2%   Close: ₹567.50   Delivery Qty: 1,657,235
355. ESSARSHPNG       66.2%   Close: ₹20.04   Delivery Qty: 248,300
356. BLKASHYAP        66.2%   Close: ₹54.45   Delivery Qty: 50,988
357. DOLATALGO        66.2%   Close: ₹67.90   Delivery Qty: 47,264
358. INDBANK          66.1%   Close: ₹32.25   Delivery Qty: 13,774
359. ANURAS           66.0%   Close: ₹1214.40   Delivery Qty: 154,999
360. RADIANTCMS       66.0%   Close: ₹37.57   Delivery Qty: 37,926
361. TVSMOTOR         66.0%   Close: ₹4360.00   Delivery Qty: 918,415
362. EMCURE           65.9%   Close: ₹1978.10   Delivery Qty: 68,306
363. ARVSMART         65.9%   Close: ₹604.20   Delivery Qty: 39,467
364. NAHARPOLY        65.8%   Close: ₹278.60   Delivery Qty: 31,682
